樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
768,榕,Ficus microcarpa L. f.,1.13,3.55,臺北市萬華區騰雲里青年公園1.2號草坪與3.4號草坪之間(1 號草坪近獅誼亭前),25.0232,121.5056,公園、綠地,臺北市政府工務局公園路燈工程管理處,Banyan
1,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市中正區梅花里中正區八德路一段55號,25.0448,121.532,公共場所,財政部國有財產署(全球人壽保險股份有限公司代管),Banyan
190,榕,Ficus microcarpa L. f.,1.18,3.71,臺北市中正區黎明里常德街1號台大醫院舊館前,25.0412,121.517,公共場所,國立臺灣大學,Banyan
2,雀榕,Ficus superba var. japonica,0.95,2.98,臺北市中正區梅花里市民大道三段8號光華數位新天地1樓中庭,25.0451,121.532,公共場所,臺北市市場處,Large-leaved Banyan
3,光臘樹,Fraxinus griffithii C.B. Clarke,0.52,1.62,臺北市中正區廈安里大埔街25巷10號東側,25.0318,121.5057,私有住宅,財政部國有財產署,Griffith's Ash
4,芒果,Mangifera indica L.,0.64,2.01,臺北市中正區廈安里大埔街25巷1號對面,25.0319,121.505,公園、綠地,財政部國有財產署(北區分署/安宏股份有限公司代管至181/04/28),Mango
5,象牙樹,Diospyros ferrea (Willd.) Bakhuizen,0.24,0.76,臺北市中正區廈安里大埔街46號對面,25.0316,121.5051,公園、綠地,財政部國有財產署,Ivorywood
9,臺灣海桐,Pittosporum pentandrum (Blanco) Merr.,0.24,0.74,臺北市中正區廈安里大埔街46號對面,25.0316,121.5053,公園、綠地,財政部國有財產署,Fragrant Pittosporum
10,月橘 (七里香),Murraya paniculata (L.) Bl. ex DC.,0.07,0.23,臺北市中正區廈安里大埔街46號對面,25.0317,121.5053,公園、綠地,財政部國有財產署,Common Jasmin Orange
11,水黃皮,Pongamia pinnata (L.) Pierre,0.43,1.36,臺北市中正區廈安里大埔街27巷7號西側綠地,25.0317,121.5054,公園、綠地,財政部國有財產署(北區分署/安宏股份有限公司代管至181/04/28),Poongaoil Pongamia
12,水黃皮,Pongamia pinnata (L.) Pierre,0.46,1.45,臺北市中正區廈安里大埔街27巷9號圍牆邊,25.0316,121.5057,私有住宅,私人,Poongaoil Pongamia
13,樟,Cinnamomum camphora (L.) Presl,0.48,1.5,臺北市中正區廈安里大埔街42號空地最內部牆邊,25.0318,121.5047,私有住宅,私人,Camphor Tree
16,白千層,Melaleuca cajuputi cumingiana,1.01,3.18,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0398,121.5184,學校,國立臺灣大學,Cajuput Tree
17,白千層,Melaleuca cajuputi cumingiana,1.03,3.25,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0397,121.5184,學校,國立臺灣大學,Cajuput Tree
18,榕,Ficus microcarpa L. f.,1.26,3.97,臺北市中正區東門里仁愛路一段1號台大醫學院舊館靠中山南路側庭園,25.0398,121.5182,學校,國立臺灣大學,Banyan
19,芒果,Mangifera indica L.,1.18,3.45,臺北市中正區東門里仁愛路一段與26巷交叉口,25.0384,121.5225,其他,國立臺灣大學,Mango
21,雀榕,Ficus superba var. japonica,1.07,3.35,臺北市中正區建國里公園路21號弘道國中操場邊,25.0379,121.5162,學校,臺北市立弘道國民中學,Large-leaved Banyan
22,榕,Ficus microcarpa L. f.,1.59,5,臺北市中正區建國里公園路21號弘道國中操場邊,25.0372,121.516,學校,臺北市立弘道國民中學,Banyan
24,榕,Ficus microcarpa L. f.,1.52,4.76,臺北市中正區河堤里中正區同安街109巷,25.0212,121.5208,公園、綠地,臺北市停車管理工程處,Banyan
25,榕,Ficus microcarpa L. f.,1.18,3.7,臺北市中正區河堤里中正區同安街109巷,25.0211,121.5209,公園、綠地,臺北市停車管理工程處,Banyan
26,榕,Ficus microcarpa L. f.,1.08,3.39,臺北市中正區河堤里中正區同安街109巷,25.0212,121.521,公園、綠地,臺北市停車管理工程處,Banyan
27,茄苳,Bischofia javanica Blume,0.68,2.15,臺北市中正區水源里汀州路三段104巷12號,25.0128,121.5338,公共場所,臺北自來水事業處,Autumn Maple Tree
28,榕,Ficus microcarpa L. f.,1.57,4.92,臺北市中正區林興里汀州路三段8號替代役中心,25.0176,121.526,其他,國防部軍備局,Banyan
30,榕,Ficus microcarpa L. f.,1.24,3.89,臺北市中正區林興里汀州路三段8號替代役中心,25.0177,121.5261,其他,臺北市政府工務局公園路燈工程管理處,Banyan
31,大葉桉,Eucalyptus robusta Smith,0.88,2.76,臺北市中正區林興里汀州路三段8號替代役中心,25.0173,121.5263,其他,臺北市政府工務局公園路燈工程管理處,Swamp Manogany
32,榕,Ficus microcarpa L. f.,1.18,3.7,臺北市中正區林興里汀州路三段8號替代役中心後方,25.0175,121.526,其他,國防部軍備局,Banyan
38,榕,Ficus microcarpa L. f.,1.11,3.49,臺北市中正區河堤里同安街107號,25.0213,121.5204,公共場所,臺北市政府文化局,Banyan
35,榕,Ficus microcarpa L. f.,0.86,2.7,臺北市中正區河堤里同安街107號,25.0214,121.5205,公共場所,臺北市政府文化局,Banyan
36,榕,Ficus microcarpa L. f.,0.95,3,臺北市中正區河堤里同安街107號,25.0212,121.5204,公共場所,臺北市政府文化局,Banyan
37,榕,Ficus microcarpa L. f.,1.25,3.93,臺北市中正區河堤里同安街107號,25.0213,121.5204,公共場所,臺北市政府文化局,Banyan
39,樟,Cinnamomum camphora (L.) Presl,1.43,4.5,臺北市中正區頂東里同安街43巷6弄2號斜對面，正對著六弄靠圍籬處,25.0242,121.5222,公共場所,臺北市政府財政局,Camphor Tree
40,榕,Ficus microcarpa L. f.,1.17,3.67,臺北市中正區南福里南昌公園,25.0273,121.5201,公園、綠地,臺北市政府工務局公園路燈管理處(臺北市中正區公所代管),Banyan
41,雀榕,Ficus superba var. japonica,1.01,3.17,臺北市中正區南福里和平西路一段55巷3號,25.0272,121.52,私有住宅,財政部國有財產署,Large-leaved Banyan
42,樟,Cinnamomum camphora (L.) Presl,0.83,2.6,臺北市中正區廈安里和平西路二段106-2號旁,25.031,121.5081,道路、人行道,臺北市政府工務局新建工程處、臺灣土地銀行股份有限公司,Camphor Tree
46,掌葉蘋婆,Sterculia foetida L.,0.57,1.8,臺北市中正區廈安里和平西路二段134巷1號,25.0319,121.5063,私有住宅,植心園公寓大廈管理委員會,Hazel Bottle Tree
48,檸檬桉,Eucalyptus maculata Hook. var. citriodora (Hook) F. Muell.,0.8,2.5,臺北市中正區南門里和平西路二段61號旁,25.0311,121.5084,道路、人行道,行政院農業委員會林業試驗所,Lemon Eucaly
49,樟,Cinnamomum camphora (L.) Presl,0.83,2.62,臺北市中正區南門里和平西路二段61號,25.0308,121.509,道路、人行道,行政院農業委員會林業試驗所,Camphor Tree
51,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.39,1.25,臺北市中正區南門里延平南路209號,25.0326,121.5077,私有住宅,臺北市政府社會局,Taiwan Cow-tail Fir
52,樟,Cinnamomum camphora (L.) Presl,1.05,3.31,臺北市中正區南門里中正區和平西路二段75巷6號,25.0326,121.5078,私有住宅,行政院農業委員會林業試驗所,Camphor Tree
53,樟,Cinnamomum camphora (L.) Presl,0.76,2.4,臺北市中正區南門里和平西路二段83號旁,25.0319,121.5072,道路、人行道,臺北市政府工務局新建工程處,Camphor Tree
700,芒果,Mangifera indica L.,0.65,2.04,臺北市大安區龍坡里溫州街16巷15號,25.0256,121.5321,公共場所,國立臺灣大學,Mango
54,青剛櫟,Cyclobalanopsis glauca (Thunb. ex Murray) Oerst,0.51,1.6,臺北市中正區建國里中正區延平南路119號,25.0401,121.5091,私有住宅,台灣電力股份有限公司(秘書處),Ring-cupped Oak
701,樟,Cinnamomum camphora (L.) Presl,0.62,1.96,臺北市大安區龍坡里溫州街16巷15號,25.0255,121.5322,公共場所,國立臺灣大學,Camphor Tree
702,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.63,5.14,臺北市大安區龍坡里溫州街16巷16號,25.0252,121.5317,學校,國立臺灣師範大學,Red Fruit Fig-tree
100,優曇華,Ficus racemosa L.,1.03,3.25,臺北市中正區南門里中正區南海路53號(台北植物園),25.0326,121.5109,公共場所,行政院農業委員會林業試驗所,Cluster Fig
55,茄苳,Bischofia javanica Blume,1.11,3.49,臺北市中正區建國里延平南路119號,25.0399,121.5091,私有住宅,台灣電力股份有限公司(秘書處),Autumn Maple Tree
704,榕,Ficus microcarpa L. f.,0.94,2.97,臺北市大安區大學里溫州街50號,25.0212,121.533,其他,國立臺灣大學(臺北市停車管理工程處代管113年4月1日起至116年3月31日止),Banyan
705,加羅林魚木,Crateva religiosa Forst.f.,0.95,2.97,臺北市大安區大學里羅斯福路三段283巷30號,25.019,121.5317,公共場所,台灣電力股份有限公司,Sacred Garlic Pear
707,楓香,Liquidambar formosana Hance,0.57,1.8,臺北市大安區學府里民族國中,25.0111,121.5386,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
101,樟,Cinnamomum camphora (L.) Presl,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0315,121.5085,公共場所,行政院農業委員會林業試驗所,Camphor Tree
56,榕,Ficus microcarpa L. f.,1.63,5.12,臺北市中正區建國里延平南路119號緊靠院內東南角圍牆邊，牆外是最高法院後門警衛室,25.0397,121.5096,私有住宅,台灣電力股份有限公司(秘書處),Banyan
59,黑板樹,Alstonia scholaris (L.) R. Brown,1.14,3.58,臺北市中正區文祥里杭州南路一段131巷15號,25.0366,121.5259,私有住宅,私人,Palimara Alstonia
61,青剛櫟,Cyclobalanopsis glauca (Thunb. ex Murray) Oerst,0.28,0.9,臺北市中正區文北里杭州南路一段75號,25.0393,121.5256,私有住宅,臺北市政府文化局 文化資產科,Ring-cupped Oak
63,烏心石,Michelia compressa (Maxim.) Sargent,0.55,1.73,臺北市中正區文北里杭州南路一段75號,25.0395,121.5257,私有住宅,臺北市政府文化局 文化資產科,Formosan Michelia
65,黑板樹,Alstonia scholaris (L.) R. Brown,0.8,2.5,臺北市中正區新營里林森南路145號騎樓上,25.033,121.5184,私有住宅,私人,Palimara Alstonia
102,落羽杉,Taxodiun distichum (L.) Rich,0.65,2.05,臺北市中正區南門里中正區南海路53號(台北植物園),25.0317,121.5084,公共場所,行政院農業委員會林業試驗所,Deciduous Cypress
67,蛋黃果,Pouteria campechiana,0.35,1.1,臺北市中正區東門里林森南路99巷與仁愛路一段26號交叉口,25.0378,121.5221,其他,國立臺灣大學,Egg Fruit
103,落羽杉,Taxodiun distichum (L.) Rich,0.62,1.96,臺北市中正區南門里中正區南海路53號(台北植物園),25.0318,121.5084,公共場所,行政院農業委員會林業試驗所,Deciduous Cypress
68,大葉合歡,Albizia lebbeck (L.) Benth,0.63,2.01,臺北市中正區東門里林森南路99巷與仁愛路一段36巷交叉口,25.0377,121.5223,私有住宅,國立臺灣大學,Siris
69,樟,Cinnamomum camphora (L.) Presl,1.05,3.3,臺北市中正區東門里林森南路99巷與仁愛路一段36巷交叉口,25.0377,121.5225,其他,國立臺灣大學,Camphor Tree
70,榕,Ficus microcarpa L. f.,0.76,2.4,臺北市中正區光復里武昌街61號對面(歐特儀中山堂地下停車場入口西側),25.0441,121.5106,公園、綠地,臺北市政府工務局公園路燈工程管理處(臺北市中山堂管理所代管),Banyan
71,榕,Ficus microcarpa L. f.,0.99,3.11,臺北市中正區光復里武昌街一段61號對面(歐特儀中山堂地下停車場入口西側),25.0441,121.5105,公園、綠地,臺北市政府工務局公園路燈工程管理處(臺北市中山堂管理所代管),Banyan
72,榕,Ficus microcarpa L. f.,1.03,3.23,臺北市中正區幸福里金山南路一段8號,25.0425,121.5295,公共場所,第一商業銀行股份有限公司,Banyan
75,榕,Ficus microcarpa L. f.,1.11,3.5,臺北市中正區建國里長沙街一段27號婦聯會寶慶路後門左側,25.0413,121.5101,公共場所,臺灣臺北地方法院,Banyan
78,榕,Ficus microcarpa L. f.,0.7,2.21,臺北市中正區黎明里中正區中山南路2巷9號,25.0456,121.5178,公共場所,臺北市政府工務局公園路燈工程管理處,Banyan
79,榕,Ficus microcarpa L. f.,1,3.14,臺北市中正區黎明里中山南路與中山南路2巷交叉口,25.0451,121.5192,其他,臺北市政府財政局(金毓泰股份有限公司代管),Banyan
80,榕,Ficus microcarpa L. f.,1.35,4.24,臺北市中正區黎明里中正區青島西路與中山南路口,25.0448,121.5191,其他,臺北市政府財政局(金毓泰股份有限公司代管),Banyan
81,樟,Cinnamomum camphora (L.) Presl,1.01,3.17,臺北市中正區黎明里中正區青島西路與中山南路口,25.0449,121.5191,其他,臺北市政府財政局(金毓泰股份有限公司代管),Camphor Tree
83,印度橡膠樹,Ficus elastica Roxb,0.6,1.89,臺北市中正區黎明里中山南路與忠孝東路交叉口,25.0453,121.5192,其他,臺北市政府財政局(金毓泰股份有限公司代管),Indiarubber fig
708,楓香,Liquidambar formosana Hance,0.61,1.92,臺北市大安區學府里民族國中,25.0111,121.5386,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
709,楓香,Liquidambar formosana Hance,0.59,1.86,臺北市大安區學府里民族國中,25.0112,121.5385,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
710,楓香,Liquidambar formosana Hance,0.58,1.82,臺北市大安區學府里民族國中,25.0111,121.5384,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
711,楓香,Liquidambar formosana Hance,0.63,1.97,臺北市大安區學府里民族國中,25.0112,121.5384,學校,臺北市民族實驗國民中學,Formosan Sweet Gum
714,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.88,5.91,臺北市大安區學府里羅斯福路四段119巷46號,25.01,121.5385,其他,農業部苗栗區農業改良場,Red Fruit Fig-tree
715,銀杏,Ginkgo biloba L.,0.39,1.24,臺北市大安區學府里羅斯福路四段1號(台大地質系研究所北側),25.0151,121.5371,學校,國立臺灣大學,Maidenhair Tree
104,落羽杉,Taxodiun distichum (L.) Rich,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0312,121.5084,公共場所,行政院農業委員會林業試驗所,Deciduous Cypress
105,印度榆,Holoptelea integrifolia (Roxb.) Planch.,0.8,2.51,臺北市中正區南門里南海路53號台北植物園半圓形廣場旁,25.0319,121.5102,公共場所,行政院農業委員會林業試驗所,Indian elm
106,肯氏蒲桃,Eugenia cumini Druce,1.28,4.03,臺北市中正區南門里中正區南海路53號(台北植物園),25.032,121.5099,公共場所,行政院農業委員會林業試驗所, Javaplum
85,榕,Ficus microcarpa L. f.,1.35,4.25,臺北市中正區幸福里青島東路8號臺北市非政府組織會館大門處,25.0437,121.5222,公共場所,臺北市政府民政局,Banyan
86,榕,Ficus microcarpa L. f.,1.41,4.44,臺北市中正區東門里信義路二段1-1號對面,25.0357,121.5242,道路、人行道,中華電信股份有限公司,Banyan
88,樟,Cinnamomum camphora (L.) Presl,0.92,2.9,臺北市中正區龍福里南昌路一段1號臺灣菸酒股份有限公司停車場內石頭屋後方庭院。,25.0336,121.5162,公共場所,國立臺灣博物館,Camphor Tree
89,樟,Cinnamomum camphora (L.) Presl,0.84,2.65,臺北市中正區龍福里南昌路一段1號臺灣菸酒股份有限公司停車場內石頭屋後方庭院,25.0336,121.5162,公共場所,國立臺灣博物館,Camphor Tree
90,樟,Cinnamomum camphora (L.) Presl,0.84,2.63,臺北市中正區龍福里南昌路一段1號,25.0336,121.5159,私有住宅,國立臺灣博物館,Camphor Tree
91,榕,Ficus microcarpa L. f.,0.79,2.47,臺北市中正區龍福里南昌路一段4號臺灣菸酒股份有限公司中庭中央,25.0335,121.5149,其他,財政部國有財產署(北區分署/臺灣菸酒股份有限公司代管至113/01/31),Banyan
716,白千層,Melaleuca cajuputi cumingiana,1.14,3.58,臺北市大安區學府里羅斯福路四段1號(國立臺灣大學),25.0173,121.5338,學校,國立臺灣大學,Cajuput Tree
717,白千層,Melaleuca cajuputi cumingiana,0.99,3.1,臺北市大安區學府里國立臺灣大學,25.0174,121.5338,學校,國立臺灣大學,Cajuput Tree
718,白千層,Melaleuca cajuputi cumingiana,0.98,3.07,臺北市大安區學府里國立臺灣大學,25.0175,121.5347,學校,國立臺灣大學,Cajuput Tree
94,金龜樹,Pithecellobium dulce (Roxb.) Benth.,1.14,3.58,臺北市中正區南門里南海路49號國立歷史博物館,25.0313,121.5114,公共場所,國立歷史博物館,Manila Tamarind
719,臺東蘇鐵,"Cycas taitungensis C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen",0.4,1.25,臺北市大安區學府里國立臺灣大學,25.0169,121.5341,學校,國立臺灣大學,Taiwan Cycas
95,樟,Cinnamomum camphora (L.) Presl,1.04,3.26,臺北市中正區南門里中正區南海路53號(台北植物園),25.0327,121.5091,公共場所,行政院農業委員會林業試驗所,Camphor Tree
720,臺東蘇鐵,"Cycas taitungensis C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen",0.31,0.97,臺北市大安區學府里國立臺灣大學,25.0169,121.5342,學校,國立臺灣大學,Taiwan Cycas
97,粗皮桉,Eucalyptus deglupta Blume,0.63,1.98,臺北市中正區南門里中正區南海路53號(台北植物園),25.0325,121.508,公共場所,行政院農業委員會林業試驗所, rainbow eucalyptus
721,臺東蘇鐵,"Cycas taitungensis C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen",0.25,0.8,臺北市大安區學府里國立臺灣大學,25.0169,121.5342,學校,國立臺灣大學,Taiwan Cycas
98,印度黃檀,Dalbergia sissoo DC.,0.92,2.89,臺北市中正區南門里中正區南海路53號(台北植物園),25.0333,121.5083,公共場所,行政院農業委員會林業試驗所,Sisso tree
99,朴樹,Celtis sinensis Persoon,0.51,1.61,臺北市中正區南門里中正區南海路53號(台北植物園),25.0333,121.5084,公共場所,行政院農業委員會林業試驗所,Chinese Hackberry
108,朴樹,Celtis sinensis Persoon,1,3.13,臺北市中正區南門里中正區南海路53號(台北植物園),25.0318,121.5094,公共場所,行政院農業委員會林業試驗所,Chinese Hackberry
109,菲律賓紫檀,Pterocarpus vidalianus Rolfe,0.95,2.98,臺北市中正區南門里中正區南海路53號(台北植物園),25.0316,121.5096,公共場所,行政院農業委員會林業試驗所,Philippine Padauk
110,菲律賓紫檀,Pterocarpus vidalianus Rolfe,0.62,1.94,臺北市中正區南門里中正區南海路53號(台北植物園),25.0315,121.5096,公共場所,行政院農業委員會林業試驗所,Philippine Padauk
111,大風子,Hydnocarpus anthelminthicus Pierr. ex Laness,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0315,121.5097,公共場所,行政院農業委員會林業試驗所,Common Chaulmoogra Tree
112,大葉桃花心木,Swietenia macrophylla King,0.88,2.78,臺北市中正區南門里中正區南海路53號(台北植物園),25.0318,121.5097,公共場所,行政院農業委員會林業試驗所,Mahogany
113,桃花心木,Swietenia mahaoni (L.) Jacq.,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0319,121.5098,公共場所,行政院農業委員會林業試驗所,Honduras mahogany
723,臺東蘇鐵,"Cycas taitungensis C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen",0.23,0.72,臺北市大安區學府里國立臺灣大學,25.0169,121.5342,學校,國立臺灣大學,Taiwan Cycas
114,黃果蒲桃,Eugenia xanthocarpa,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0321,121.5097,公共場所,行政院農業委員會林業試驗所, Eugenia xanthocarpa
724,臺東蘇鐵,"Cycas taitungensis C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen",0.36,1.12,臺北市大安區學府里國立臺灣大學,25.0169,121.5341,學校,國立臺灣大學,Taiwan Cycas
725,白千層,Melaleuca cajuputi cumingiana,1.37,4.31,臺北市大安區學府里國立臺灣大學,25.0173,121.5338,學校,國立臺灣大學,Cajuput Tree
727,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.35,4.24,臺北市大安區學府里國立臺灣大學傅園內,25.0163,121.5334,學校,國立臺灣大學,Red Fruit Fig-tree
728,大葉雀榕,Ficus caulocarpa (Miq.) Miq,1.42,4.46,臺北市大安區學府里羅斯福路四段１號台大校園內傅園內,25.0161,121.5335,學校,國立臺灣大學,Red Fruit Fig-tree
729,大葉雀榕,Ficus caulocarpa (Miq.) Miq,2.24,7.03,臺北市大安區學府里羅斯福路四段1號台大校園內傅園內,25.0162,121.5335,學校,國立臺灣大學,Red Fruit Fig-tree
730,圓果榕,Ficus globosa Blume,1.14,3.58,臺北市大安區學府里羅斯福路四段１號台大校園內傅園內,25.0161,121.534,學校,國立臺灣大學,Ara akar
116,黃果垂榕,Ficus benjamina L. var. comosa King,0.69,2.16,臺北市中正區南門里中正區南海路53號(台北植物園),25.0321,121.5104,公共場所,行政院農業委員會林業試驗所,White barkfig
117,黃果垂榕,Ficus benjamina L. var. comosa King,1.02,3.22,臺北市中正區南門里南海路53號植物園面向荷花池的半圓形廣場邊，靠外的那棵,25.032,121.5103,公共場所,農業部林業試驗所,White barkfig
118,楓香,Liquidambar formosana Hance,0.81,2.56,臺北市中正區南門里中正區南海路53號(台北植物園),25.0325,121.5104,公共場所,行政院農業委員會林業試驗所,Formosan Sweet Gum
120,肯氏蒲桃,Eugenia cumini Druce,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0324,121.5106,公共場所,行政院農業委員會林業試驗所, Javaplum
122,樟,Cinnamomum camphora (L.) Presl,0.67,2.09,臺北市中正區南門里中正區南海路53號(台北植物園),25.0334,121.5102,公共場所,行政院農業委員會林業試驗所,Camphor Tree
124,白千層,Melaleuca cajuputi cumingiana,0.87,2.73,臺北市中正區南門里中正區南海路53號(台北植物園),25.0335,121.5103,公共場所,臺北市政府工務局公園路燈工程管理處,Cajuput Tree
125,白千層,Melaleuca cajuputi cumingiana,0.9,2.84,臺北市中正區南門里中正區南海路53號(台北植物園),25.0335,121.5103,公共場所,臺北市政府工務局公園路燈工程管理處,Cajuput Tree
126,白千層,Melaleuca cajuputi cumingiana,2.04,6.4,臺北市中正區南門里中正區南海路53號(台北植物園),25.0335,121.5104,公共場所,臺北市政府工務局公園路燈工程管理處,Cajuput Tree
127,白千層,Melaleuca cajuputi cumingiana,0.86,2.7,臺北市中正區南門里中正區南海路53號(台北植物園),25.0335,121.5104,公共場所,臺北市政府工務局公園路燈工程管理處,Cajuput Tree
128,落羽杉,Taxodiun distichum (L.) Rich,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0336,121.5102,公共場所,臺北市政府工務局公園路燈工程管理處,Deciduous Cypress
129,大葉巴克豆,Parkia roxburghii,0.85,2.68,臺北市中正區南門里中正區南海路53號(台北植物園),25.0311,121.5089,公園、綠地,行政院農業委員會林業試驗所,African Locust
130,菲律賓紫檀,Pterocarpus vidalianus Rolfe,1.02,3.19,臺北市中正區南門里中正區南海路53號(台北植物園),25.0309,121.5091,公共場所,行政院農業委員會林業試驗所,Philippine Padauk
131,吉貝木棉,Ceiba pentandra (L.) Gaertn.,0.88,2.75,臺北市中正區南門里中正區南海路53號(台北植物園),25.0331,121.5096,公共場所,行政院農業委員會林業試驗所,Kapok
132,九芎,Lagerstroemia subcostata Koehne,0.8,2.5,臺北市中正區南門里中正區南海路53號(台北植物園),25.0328,121.5099,公共場所,行政院農業委員會林業試驗所,Subcostate Crape Myrtle
731,闊葉榕,Ficus altissima Blume,2.68,8.42,臺北市大安區學府里羅斯福路四段1號台大校園內傅園內,25.0161,121.534,學校,國立臺灣大學,council tree
732,闊葉榕,Ficus altissima Blume,1.01,3.17,臺北市大安區學府里羅斯福路四段1號台大校園內傅園內,25.0162,121.5336,學校,國立臺灣大學,council tree
734,樟,Cinnamomum camphora (L.) Presl,1.37,4.3,臺北市大安區學府里羅斯福路四段1號,25.0169,121.5352,學校,國立臺灣大學,Camphor Tree
736,白千層,Melaleuca cajuputi cumingiana,0.96,3.01,臺北市大安區學府里羅斯福路四段1號(國立臺灣大學土壤化學系系館西側),25.0163,121.5354,學校,國立臺灣大學,Cajuput Tree
737,榕,Ficus microcarpa L. f.,1.68,3.93,臺北市大安區學府里羅斯福路四段1號(國立台灣大學土壤化學系系館西側),25.0162,121.5352,學校,國立臺灣大學,Banyan
739,白千層,Melaleuca cajuputi cumingiana,1.11,3.48,臺北市大安區學府里國立臺灣大學校園安全中心東南角,25.0157,121.5364,學校,國立臺灣大學,Cajuput Tree
741,白千層,Melaleuca cajuputi cumingiana,0.91,2.85,臺北市大安區學府里臺灣大學校園安全中心西北邊,25.0159,121.5364,學校,國立臺灣大學,Cajuput Tree
742,白千層,Melaleuca cajuputi cumingiana,1.02,3.2,臺北市大安區學府里臺灣大學校園安全中心東側偏北,25.0158,121.5364,學校,國立臺灣大學,Cajuput Tree
135,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.21,0.67,臺北市中正區南門里中正區南海路53號(台北植物園),25.0317,121.5104,公共場所,行政院農業委員會林業試驗所,Taiwan Cow-tail Fir
136,黑板樹,Alstonia scholaris (L.) R. Brown,0.92,2.9,臺北市中正區龍光里南海路56號大門西側機車棚旁,25.0311,121.512,學校,臺北市立建國高級中學,Palimara Alstonia
137,黑板樹,Alstonia scholaris (L.) R. Brown,1.15,3.6,臺北市中正區龍光里南海路56號大門西側機車棚旁,25.0311,121.5117,學校,臺北市立建國高級中學,Palimara Alstonia
138,黑板樹,Alstonia scholaris (L.) R. Brown,0.9,2.82,臺北市中正區龍光里南海路56號大門西側機車棚旁,25.031,121.5115,學校,臺北市立建國高級中學,Palimara Alstonia
139,黑板樹,Alstonia scholaris (L.) R. Brown,1.06,3.34,臺北市中正區龍光里南海路56號,25.0312,121.513,學校,臺北市立建國高級中學,Palimara Alstonia
140,黑板樹,Alstonia scholaris (L.) R. Brown,1.86,5.85,臺北市中正區龍光里南海路56號,25.0313,121.5129,學校,臺北市立建國高級中學,Palimara Alstonia
744,白千層,Melaleuca cajuputi cumingiana,0.89,2.8,臺北市大安區學府里臺灣大學校園安全中心北側,25.016,121.5363,學校,國立臺灣大學,Cajuput Tree
748,白千層,Melaleuca cajuputi cumingiana,1.02,3.2,臺北市大安區學府里羅斯福路四段1號(國立台灣大學),25.0153,121.5364,學校,國立臺灣大學,Cajuput Tree
141,黑板樹,Alstonia scholaris (L.) R. Brown,0.9,2.84,臺北市中正區龍光里南海路56號寧波西街側圍牆旁,25.0293,121.5128,學校,臺北市立建國高級中學,Palimara Alstonia
142,黑板樹,Alstonia scholaris (L.) R. Brown,1.02,3.2,臺北市中正區龍光里南海路56號操場邊緣，科學館門口前方,25.0305,121.5132,學校,臺北市立建國高級中學,Palimara Alstonia
143,茄苳,Bischofia javanica Blume,1.18,3.7,臺北市中正區龍光里南海路56號警衛室及變電箱之間,25.0312,121.5124,學校,臺北市立建國高級中學,Autumn Maple Tree
752,白千層,Melaleuca cajuputi cumingiana,1.02,3.21,臺北市大安區學府里國立台灣大學植物標本館前,25.0165,121.5353,學校,國立臺灣大學,Cajuput Tree
145,黑板樹,Alstonia scholaris (L.) R. Brown,1.49,4.69,臺北市中正區龍光里泉州街2號南海路與泉州街口宿舍,25.0315,121.5135,學校,臺北市立建國高級中學,Palimara Alstonia
146,黑板樹,Alstonia scholaris (L.) R. Brown,1.27,3.98,臺北市中正區龍光里泉州街2號南海路與泉州街口住宅,25.0316,121.5135,學校,臺北市立建國高級中學,Palimara Alstonia
147,樟,Cinnamomum camphora (L.) Presl,0.82,2.57,臺北市中正區永功里泉州街32號豐年新村,25.0255,121.5129,私有住宅,國防部軍備局(國防部憲兵指揮部代管),Camphor Tree
