樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
4244,榕,Ficus microcarpa L. f.,0.8,2.51,臺北市士林區蘭興里中山北路六段267號,25.1098,121.5253,,臺北市政府工務局新建工程處、財政部國有財產署、私人、力麒建設股份有限公司、吉美建設事業股份有限公司、上揚國際資產管理股份有限公司(財政部國有財產署北區分署、臺北市政府工務局公園路燈工程管理處代管),Banyan
4245,榕,Ficus microcarpa L. f.,0.84,2.65,臺北市士林區天壽里中山北路六段405巷右側,25.1144,121.5255,,臺北市政府工務局公園路燈工程管理處,Banyan
4246,榕,Ficus microcarpa L. f.,0.82,2.59,臺北市士林區天壽里中山北路六段405巷右側,25.1143,121.5255,,臺北市政府工務局公園路燈工程管理處,Banyan
4247,榕,Ficus microcarpa L. f.,0.8,2.51,臺北市士林區蘭興里天母橋及中山北路6段405巷附近,25.1121,121.5258,,臺北市政府工務局公園路燈工程管理處,Banyan
4248,榕,Ficus microcarpa L. f.,0.86,2.69,臺北市士林區蘭興里中山北路六段405巷，蘭興1號綠地外圍,25.1133,121.5261,,臺北市政府工務局公園路燈工程管理處,Banyan
4249,榕,Ficus microcarpa L. f.,1.07,3.37,臺北市士林區天玉里天母西路95巷，士林73號天美綠地內,25.12,121.5254,,臺北市政府工務局水利工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4250,榕,Ficus microcarpa L. f.,1.02,3.19,臺北市士林區天玉里天母西路95巷，士林73號天美綠地內,25.12,121.5253,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4251,榕,Ficus microcarpa L. f.,0.84,2.63,臺北市士林區臨溪里至善路二段360之2號(至善國中邊),25.1044,121.5568,,臺北市政府工務局公園路燈工程管理處,Banyan
4252,榕,Ficus microcarpa L. f.,0.85,2.66,臺北市士林區臨溪里至善路二段360之2號(至善國中邊),25.1046,121.5571,,臺北市立至善國民中學(臺北市政府工務局公園路燈工程管理處代管),Banyan
4253,榕,Ficus microcarpa L. f.,0.83,2.6,臺北市士林區福志里福林路247號,25.0984,121.5348,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4254,榕,Ficus microcarpa L. f.,0.85,2.66,臺北市士林區承德里劍潭路36號,25.0822,121.5197,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4255,猢猻木,Adansonia digitata L.,0.9,2.82,"臺北市士林區聖山里忠義街, 德行東路190巷交叉口",25.1068,121.5323,,臺北市政府工務局公園路燈工程管理處,Baobab
4256,猢猻木,Adansonia digitata L.,0.82,2.57,臺北市士林區後港里承德路5段往百齡橋前槽化島,25.0912,121.5159,,道路用地(產權未定)(臺北市政府工務局公園路燈工程管理處代管),Baobab
4257,猢猻木,Adansonia digitata L.,0.85,2.67,臺北市士林區後港里中正路往承德路5段前槽化島,25.0914,121.5163,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Baobab
4258,榕,Ficus microcarpa L. f.,0.83,2.6,臺北市士林區福林里中正路115號,25.0958,121.5287,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4259,榕,Ficus microcarpa L. f.,0.88,2.77,臺北市士林區福德里中正路435巷15前，士林120號綠地內,25.0929,121.5206,,臺北市政府工務局公園路燈工程管理處,Banyan
4260,榕,Ficus microcarpa L. f.,0.81,2.55,臺北市士林區葫東里百齡橋西側引道三角綠地,25.0869,121.5111,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4261,榕,Ficus microcarpa L. f.,0.82,2.57,臺北市士林區德華里文林路663號前,25.1009,121.5226,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4262,榕,Ficus microcarpa L. f.,0.81,2.55,臺北市士林區德華里文林路669號前,25.101,121.5224,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4263,榕,Ficus microcarpa L. f.,0.89,2.81,臺北市士林區福華里文林路663號前,25.1009,121.5226,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Banyan
4264,雀榕,Ficus superba var. japonica,0.82,2.58,臺北市士林區新安里仰德大道三段61號,25.1198,121.5529,,臺北市士林區陽明山國民小學(臺北市政府工務局公園路燈工程管理處代管),Large-leaved Banyan
4265,榕,Ficus microcarpa L. f.,0.89,2.79,臺北市士林區新安里仰德大道三段61號,25.119,121.5528,,臺北市士林區陽明山國民小學(臺北市政府工務局公園路燈工程管理處代管),Banyan
4294,雀榕,Ficus superba var. japonica,1.22,3.81,臺北市士林區福林里至善路1段116巷5號前方道路旁,25.097,121.5385,,私人、財政部國有財產署、臺北市政府財政局,Large-leaved Banyan
4266,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.26,0.83,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0169,121.5342,,國立臺灣大學,Fan Palm
4267,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.25,0.77,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0169,121.5342,,國立臺灣大學,Fan Palm
4268,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.27,0.85,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0169,121.5342,,國立臺灣大學,Fan Palm
4269,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.24,0.77,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0169,121.5342,,國立臺灣大學,Fan Palm
4270,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.24,0.75,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0168,121.5342,,國立臺灣大學,Fan Palm
4271,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.26,0.82,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0169,121.5342,,國立臺灣大學,Fan Palm
4272,蒲葵,Livitona chinensis R. Br. var. subglobosa (Mart.) Becc.,0.22,0.71,臺北市大安區學府里羅斯福路4段1號(戲劇系及植物病理學系系館＜一號館＞旁),25.0168,121.5343,,國立臺灣大學,Fan Palm
4273,芒果,Mangifera indica L.,0.57,1.78,臺北市文山區華興里木柵路1段238巷8號住宅旁道路,24.9876,121.5539,,私人(因道路開闢徵收管理單位為臺北市政府工務局新建工程處，委由公園處代為管理維護),Mango
4274,芒果,Mangifera indica L.,0.65,2.1,臺北市文山區華興里木柵路1段238巷8號住宅旁道路,24.9876,121.5539,,私人(因道路開闢徵收管理單位為臺北市政府工務局新建工程處，委由公園處代為管理維護),Mango
4277,大葉桉,Eucalyptus robusta Smith,0.65,2.1,臺北市文山區華興里木柵路1段238巷9號周邊,24.9873,121.554,,臺北市政府工務局新建工程處,Swamp Manogany
4278,桂花,Osmanthus fragrans Lour.,0.22,0.69,臺北市文山區華興里木柵路1段238巷12號,24.9873,121.554,,私人,Sweet Osmanthus
4279,桂花,Osmanthus fragrans Lour.,0.25,0.77,臺北市文山區華興里木柵路1段238巷12號,24.9872,121.554,,私人,Sweet Osmanthus
4280,桂花,Osmanthus fragrans Lour.,0.28,0.87,臺北市文山區華興里木柵路1段238巷12號,24.9872,121.5541,,臺北市政府工務局新建工程處,Sweet Osmanthus
4281,桂花,Osmanthus fragrans Lour.,0.25,0.79,臺北市文山區華興里木柵路1段238巷12號,24.9872,121.5541,,臺北市政府工務局新建工程處,Sweet Osmanthus
4282,桂花,Osmanthus fragrans Lour.,0.28,0.88,臺北市文山區華興里木柵路1段238巷12號牆外道路,24.9872,121.5541,,臺北市政府工務局新建工程處,Sweet Osmanthus
4283,變葉木,Codiaeum variegatum,0.1,0.7,臺北市文山區華興里木柵路1段238巷12號,24.9872,121.5541,,臺北市政府工務局新建工程處,Croton
4284,日本黑松,Pinus thunbergii Parl.,0.13,0.39,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0408,121.5169,,總統府第三局(外交部代管),Japanese Black Pine
4285,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.53,1.67,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0406,121.5173,,總統府第三局(外交部代管),Taiwan Cow-tail Fir
4286,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.44,1.37,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0407,121.5175,,總統府第三局(外交部代管),Taiwan Cow-tail Fir
4287,臺灣油杉,Keteleeria davidiana (Franchet) Beissnervar. formosana Hayata,0.46,1.44,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0403,121.5176,,總統府第三局(外交部代管),Taiwan Cow-tail Fir
4288,日本黑松,Pinus thunbergii Parl.,0.27,0.86,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0404,121.5176,,總統府第三局(外交部代管),Japanese Black Pine
4289,日本黑松,Pinus thunbergii Parl.,0.3,0.94,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0405,121.5176,,總統府第三局(外交部代管),Japanese Black Pine
4290,日本黑松,Pinus thunbergii Parl.,0.36,1.19,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0402,121.5173,,總統府第三局(外交部代管),Japanese Black Pine
4291,森氏紅淡比,Cleyera japonica Thunb. var. morii (Yamamoto) Masam.,0.3,0.94,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0403,121.5173,,總統府第三局(外交部代管),Mori Cleyera
4292,森氏紅淡比,Cleyera japonica Thunb. var. morii (Yamamoto) Masam.,0.32,1.03,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0399,121.517,,總統府第三局(外交部代管),Mori Cleyera
4293,森氏紅淡比,Cleyera japonica Thunb. var. morii (Yamamoto) Masam.,0.39,1.22,臺北市中正區黎明里臺北賓館(凱達格蘭大道1號),25.0399,121.5171,,總統府第三局(外交部代管),Mori Cleyera
