TreeHoleID,ShapeType,Length,Area,Region,Remark,TWD97X,TWD97Y,UpdDate,lng,lat
48707,帶狀樹穴,39.09,55.26,大同區,,301727.63,2773188.49,2026-03-26 15:31:48,121.51272912282761,25.066023075950866
48707,帶狀樹穴,39.09,55.26,大同區,,301727.63,2773188.49,2026-03-26 15:31:48,121.51272912282761,25.066023075950866
48707,帶狀樹穴,39.09,55.26,大同區,,301727.63,2773188.49,2026-03-26 15:31:48,121.51272912282761,25.066023075950866
48708,帶狀樹穴,28.0,36.24,大同區,,301743.67,2773188.27,2026-03-26 15:31:48,121.51288809951542,25.066020540696865
48709,帶狀樹穴,29.9,37.23,大同區,,301757.03,2773188.66,2026-03-26 15:31:48,121.5130205355603,25.066023604101908
48709,帶狀樹穴,29.9,37.23,大同區,,301757.03,2773188.66,2026-03-26 15:31:48,121.5130205355603,25.066023604101908
48709,帶狀樹穴,29.9,37.23,大同區,,301757.03,2773188.66,2026-03-26 15:31:48,121.5130205355603,25.066023604101908
48709,帶狀樹穴,29.9,37.23,大同區,,301757.03,2773188.66,2026-03-26 15:31:48,121.5130205355603,25.066023604101908
48709,帶狀樹穴,29.9,37.23,大同區,,301757.03,2773188.66,2026-03-26 15:31:48,121.5130205355603,25.066023604101908
48766,單一樹穴,8.38,4.36,,,302147.47,2773859.41,2026-03-26 15:31:48,121.51691590460287,25.0720656658664
48767,單一樹穴,7.47,3.47,,,302141.35,2773859.78,2026-03-26 15:31:48,121.5168552555894,25.072069217421934
48768,單一樹穴,7.97,3.95,,,302135.48,2773859.87,2026-03-26 15:31:48,121.51679707402866,25.07207023250651
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
2093,帶狀樹穴,15.5,4.29,延平北路六段,,300743.05,2776005.15,2026-03-26 15:31:48,121.50307407756016,25.091485086202034
